Site Name,Latitude,Longitude,Site Enabled,Device Name,Device Type,Max Power (dBm),Misc Loss (dB),Antenna Type,Mechanical Azimuth (deg),Mechanical Downtilt (deg),Electrical Downtilt (deg),Antenna Height AGL (m),Beamforming Gain (dB),LTE PDSCH Offset (dB),Cell Load (%)
S1181,32.4093941,-95.4844335,true,LTE-ENodeB-2064,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1182,32.4279841,-95.4258026,true,LTE-ENodeB-2065,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1183,32.5065038,-95.3407694,true,LTE-ENodeB-2066,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1184,32.5553229,-95.4334867,true,LTE-ENodeB-2067,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1185,32.5587901,-95.3340809,true,LTE-ENodeB-2068,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1186,32.5480578,-95.1466674,true,LTE-ENodeB-2069,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1187,32.5515412,-95.2843959,true,LTE-ENodeB-2070,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1188,32.4668205,-95.1892503,true,LTE-ENodeB-2071,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1189,29.9169458,-95.4462198,true,LTE-ENodeB-209,Outdoor,45,2,AW3161,0,0,0,40,0,0,50
S119,34.1459980,-101.6346731,true,LTE-ENodeB-1107,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1190,30.7932355,-95.3190350,true,LTE-ENodeB-2072,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
S1191,30.8031118,-95.2299801,true,LTE-ENodeB-2073,Outdoor,45,2,AW3161,240,0,0,40,0,0,50
